year,region,value
2080,Samut Prakan,1033072.0965730658
2080,Rest of Thailand,44312549.23798282
2081,Thailand,50245246.06146819
2081,Bangkok,4242264.305290544
2081,Nonthaburi,969233.1014154728
2081,Samut Prakan,1025966.9571197707
2081,Rest of Thailand,44007781.69764241
2082,Thailand,49897282.145423494
2082,Bangkok,4212885.3089421205
2082,Nonthaburi,962520.861512894
2082,Samut Prakan,1018861.8176664757
2082,Rest of Thailand,43703014.15730201
2083,Thailand,49549318.2293788
2083,Bangkok,4183506.312593696
2083,Nonthaburi,955808.6216103152
2083,Samut Prakan,1011756.6782131805
2083,Rest of Thailand,43398246.616961606
2084,Thailand,49201354.31333409
2084,Bangkok,4154127.3162452723
2084,Nonthaburi,949096.3817077364
2084,Samut Prakan,1004651.5387598854
2084,Rest of Thailand,43093479.0766212
2085,Thailand,48853390.397289395
2085,Bangkok,4124748.319896848
2085,Nonthaburi,942384.1418051576
2085,Samut Prakan,997546.3993065902
2085,Rest of Thailand,42788711.5362808
2086,Thailand,48505426.4812447
2086,Bangkok,4095369.323548424
2086,Nonthaburi,935671.9019025788
2086,Samut Prakan,990441.2598532952
2086,Rest of Thailand,42483943.9959404
2087,Thailand,48157462.5652
2087,Bangkok,4065990.3272
2087,Nonthaburi,928959.662
2087,Samut Prakan,983336.1204
2087,Rest of Thailand,42179176.4556
2088,Thailand,47809498.6491553
2088,Bangkok,4036611.330851576
2088,Nonthaburi,922247.4220974213
2088,Samut Prakan,976230.9809467049
2088,Rest of Thailand,41874408.91525959
2089,Thailand,47461534.7331106
2089,Bangkok,4007232.334503152
2089,Nonthaburi,915535.1821948425
2089,Samut Prakan,969125.8414934097
2089,Rest of Thailand,41569641.37491919
2090,Thailand,47113570.8170659
2090,Bangkok,3977853.338154728
2090,Nonthaburi,908822.9422922636
2090,Samut Prakan,962020.7020401147
2090,Rest of Thailand,41264873.8345788
2091,Thailand,46765606.9010212
2091,Bangkok,3948474.3418063037
2091,Nonthaburi,902110.7023896849
2091,Samut Prakan,954915.5625868195
2091,Rest of Thailand,40960106.29423838
2092,Thailand,46417642.9849765
2092,Bangkok,3919095.34545788
2092,Nonthaburi,895398.462487106
2092,Samut Prakan,947810.4231335244
2092,Rest of Thailand,40655338.75389799
2093,Thailand,46069679.0689318
2093,Bangkok,3889716.349109456
2093,Nonthaburi,888686.2225845272
2093,Samut Prakan,940705.2836802292
2093,Rest of Thailand,40350571.213557586
2094,Thailand,45721715.152887106
2094,Bangkok,3860337.3527610316
2094,Nonthaburi,881973.9826819485
2094,Samut Prakan,933600.1442269341
2094,Rest of Thailand,40045803.6732172
2095,Thailand,45373751.2368424
2095,Bangkok,3830958.3564126077
2095,Nonthaburi,875261.7427793697
2095,Samut Prakan,926495.004773639
2095,Rest of Thailand,39741036.13287679
2096,Thailand,45025787.320797704
2096,Bangkok,3801579.3600641834
2096,Nonthaburi,868549.5028767908
2096,Samut Prakan,919389.8653203439
2096,Rest of Thailand,39436268.59253638
2097,Thailand,44677823.40475301
2097,Bangkok,3772200.3637157595
2097,Nonthaburi,861837.2629742121
2097,Samut Prakan,912284.7258670487
2097,Rest of Thailand,39131501.05219599
2098,Thailand,44329859.4887083
2098,Bangkok,3742821.3673673356
2098,Nonthaburi,855125.0230716332
2098,Samut Prakan,905179.5864137537
2098,Rest of Thailand,38826733.51185558
2099,Thailand,43981895.572663605
2099,Bangkok,3713442.3710189117
2099,Nonthaburi,848412.7831690544
2099,Samut Prakan,898074.4469604585
2099,Rest of Thailand,38521965.971515186
2100,Thailand,43633931.65661891
2100,Bangkok,3684063.3746704874
2100,Nonthaburi,841700.5432664757
2100,Samut Prakan,890969.3075071634
2100,Rest of Thailand,38217198.43117478
